from_addr,composite_score,tier,inter_arrival_anomaly,tod_uniformity_anomaly,gas_tightness_anomaly,counterparty_concentration,method_concentration,burst_intensity,drift_signal,coordination,explanation
0xf95a18e24247377ed48082e201d38fbe893a3fef,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.07 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x6ab22e12c56bc1d4d45daa50f5d67e3925f52661,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.19 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x66c40946b0dffd04be467e18309857307ecd37cb,26.885259817416625,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.0350789430825773,inter-arrival CV 0.36 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.002 (top-1% tightness)
0x986667413af73b4a78478dcf72062c2ab3a19e08,26.885259817416625,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.0350789430825773,inter-arrival CV 1.71 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.000 (top-1% tightness)
0xb6a8330cb951963efd19b40146489c7ae91c5475,26.85918304114137,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,2.861233767914221,inter-arrival CV 0.24 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0xeb7ee9991ce17c2e98788c89f30472ea0ddfc604,26.789363897476303,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,2.3957728101471125,inter-arrival CV 0.09 (cron); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.000 (top-1% tightness)
0xbb08af535b962497cab65a942f11a2d1518335b6,26.789363897476303,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,2.3957728101471125,inter-arrival CV 0.13 (cron); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x6479d75cef44a2b76eb17c2ab66fe22946abd642,26.762951621607016,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,2.2196909710185295,inter-arrival CV 0.16 (cron); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0xee66ce551772d0c6ad720b7d681c7786f66f2f77,26.76013669522665,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,2.2009247951494255,inter-arrival CV 0.20 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.000 (top-1% tightness)
0xc9f89f04119d3a82c633f1965b59e6632ef930e8,26.76013669522665,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,2.2009247951494255,inter-arrival CV 0.66 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.000 (top-1% tightness)
